Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
data_dialog_00001_00001_0c966f6b	data_ep_0	everyone in the room flip their papers and start answering the exam	game/dialog/00001/00001.rpy	95	data_ep_0 "[what]"
data_dialog_00001_00001_c9918814	data_ep_0	it would take 3 Hours to finish entrance exam	game/dialog/00001/00001.rpy	97	data_ep_0 "[what]"
data_dialog_00001_00001_002ced1d	data_ep_0	the exam contains question about Magic, Types, Monster, Topography, History, Abilities, Elements, Artifacts and More.	game/dialog/00001/00001.rpy	99	data_ep_0 "[what]"
data_dialog_00001_00001_09e73922	data_ep_0	the exam is very hard you need to get atleast 40% to pass and only 25k or less students pass the entrance exam per year	game/dialog/00001/00001.rpy	101	data_ep_0 "[what]"
data_dialog_00001_00001_d43ebeb3	data_ep_0	she finish the exam 1 hour before the time limit and take a nap	game/dialog/00001/00001.rpy	103	data_ep_0 "[what]"
data_dialog_00001_00001_985a0086	data_ep_0	bell rang as the exam is about to close	game/dialog/00001/00001.rpy	105	data_ep_0 "[what]"
data_dialog_00001_00001_bc020b0b	data_ep_0	Auriel woke up just as the professor about to announce something.	game/dialog/00001/00001.rpy	107	data_ep_0 "[what]"
data_dialog_00001_00001_3aa46730	data_ep_0	Her eyes slowly adjusted to the bright lights of the room	game/dialog/00001/00001.rpy	109	data_ep_0 "[what]"
data_dialog_00001_00001_2c27cf02	data_ep_0	as she struggled to keep from yawning. She was exhausted after having taken the entrance exam	game/dialog/00001/00001.rpy	111	data_ep_0 "[what]"
data_dialog_00001_00001_d2ebb90e	data_ep_0	which she'd spent nearly all of her time preparing for. Despite her tiredness	game/dialog/00001/00001.rpy	113	data_ep_0 "[what]"
data_dialog_00001_00001_d5393e9c	data_ep_0	Auriel was curious what it was that the professor was announcing	game/dialog/00001/00001.rpy	115	data_ep_0 "[what]"
data_dialog_00001_00001_6d85e06d	data_ep_0	so she sat forward in her chair and focused on listening.	game/dialog/00001/00001.rpy	117	data_ep_0 "[what]"
data_dialog_00001_00001_55a8dcb8	data_chr_00003_00002	Times up everyone flip your papers. make sure to put a name on it. the passing names will be posted in the academy's board tommorow with what room you will be in	game/dialog/00001/00001.rpy	119	data_chr_00003_00002 "[what]"
data_dialog_00001_00001_ec4f2db9	data_ep_0	she left the room and return to her home	game/dialog/00001/00001.rpy	121	data_ep_0 "[what]"
data_dialog_00001_00002_63520d51		CHAPTER 2	game/dialog/00001/00002.rpy	3	"[what]"
data_dialog_00001_00002_15a2c94d	data_ep_0	Auriel woke up in the middle of the night and found her room had changed	game/dialog/00001/00002.rpy	5	data_ep_0 "[what]"
data_dialog_00001_00002_70a3fdb9	data_ep_0	It now decorated with luxurious furniture	game/dialog/00001/00002.rpy	7	data_ep_0 "[what]"
data_dialog_00001_00002_0b9fcc24	data_chr_00004_00000_00001	How The Hell This Happened?	game/dialog/00001/00002.rpy	9	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_9790fddc	data_ep_0	The Door In the middle of the room is suddenly glowing blue	game/dialog/00001/00002.rpy	11	data_ep_0 "[what]"
data_dialog_00001_00002_890561c7	data_ep_0	Confused and startled, she stood up and tried to open the door. 	game/dialog/00001/00002.rpy	13	data_ep_0 "[what]"
data_dialog_00001_00002_75ea4866	data_ep_0	It swung open with ease this time.	game/dialog/00001/00002.rpy	19	data_ep_0 "[what]"
data_dialog_00001_00002_49b015e1	data_ep_0	The Free Standing Door is Connected to a long hallway full of stars	game/dialog/00001/00002.rpy	23	data_ep_0 "[what]"
data_dialog_00001_00002_07f6ab52	data_ep_0	she walk thru the door to see a beautiful scenery 	game/dialog/00001/00002.rpy	25	data_ep_0 "[what]"
data_dialog_00001_00002_c16ee79a	data_ep_0	as she walks thru she see a another door coming in the view	game/dialog/00001/00002.rpy	27	data_ep_0 "[what]"
data_dialog_00001_00002_17870878	data_ep_0	Auriel run to the door and open it	game/dialog/00001/00002.rpy	29	data_ep_0 "[what]"
data_dialog_00001_00002_f8c9072a	data_ep_0	she sees a desk, tables, bookshelfs are full to the brim of books, chairs on every corridor and a big clock on the high wall	game/dialog/00001/00002.rpy	35	data_ep_0 "[what]"
data_dialog_00001_00002_991fad61	data_ep_0	she hears a so satisfying yet so mystrious song playing through the whole room	game/dialog/00001/00002.rpy	41	data_ep_0 "[what]"
data_dialog_00001_00002_e79b36b8	data_ep_0	She went to the desk and found a note on the desk	game/dialog/00001/00002.rpy	43	data_ep_0 "[what]"
data_dialog_00001_00002_4b22ab79	data_chr_00003_00003	"Congratulations Auriel, you passed the entrance exam," 	game/dialog/00001/00002.rpy	45	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_4ad8d18f	data_chr_00003_00003	"I hope giving this library full of knowledge about the whole world help you."	game/dialog/00001/00002.rpy	47	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_e9c20c5a	data_ep_0	Auriel was still staring at the note, trying to process the information.	game/dialog/00001/00002.rpy	49	data_ep_0 "[what]"
data_dialog_00001_00002_12a7dfa6	data_chr_00004_00000_00001	I passed the entrance exam?	game/dialog/00001/00002.rpy	51	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_2d441d5b	data_ep_0	she repeated to herself.	game/dialog/00001/00002.rpy	53	data_ep_0 "[what]"
data_dialog_00001_00002_b24d3490	data_ep_0	as she wondered what this meant for her	game/dialog/00001/00002.rpy	55	data_ep_0 "[what]"
data_dialog_00001_00002_3deca6f9	data_ep_0	She explore the library and found that every corridor that have a sign infront of it 	game/dialog/00001/00002.rpy	59	data_ep_0 "[what]"
data_dialog_00001_00002_29c37aaa	data_ep_0	with certain number indicating to it and hears the song changing based on where she walking thru	game/dialog/00001/00002.rpy	61	data_ep_0 "[what]"
data_dialog_00001_00002_3370dfca	data_chr_00004_00000_00001	8?	game/dialog/00001/00002.rpy	63	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_edbf8128	data_ep_0	She went to a corridor with a sign "8" and went to the shelf to drag a book out	game/dialog/00001/00002.rpy	65	data_ep_0 "[what]"
data_dialog_00001_00002_6e8c264e	data_ep_0	Its a magic book its named "Saint"	game/dialog/00001/00002.rpy	69	data_ep_0 "[what]"
data_dialog_00001_00002_28f7f05b	data_ep_0	She open and read a page of a book 	game/dialog/00001/00002.rpy	71	data_ep_0 "[what]"
data_dialog_00001_00002_a0c7bb74	data_ep_0	"[[Thunder]: A Class Legendary 8 Spell That Can Strike A Lightning On The Target Point"	game/dialog/00001/00002.rpy	75	data_ep_0 "[what]"
data_dialog_00001_00002_99081682	data_ep_0	it reads	game/dialog/00001/00002.rpy	77	data_ep_0 "[what]"
data_dialog_00001_00002_ff809b89	data_chr_00004_00000_00001	hmm what? is this a spell? Let's try this. [[Thunder]	game/dialog/00001/00002.rpy	79	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_d101a5b1	data_ep_0	She Tried To Cast It But It Did Not Work	game/dialog/00001/00002.rpy	81	data_ep_0 "[what]"
data_dialog_00001_00002_4d243555	data_ep_0	Suddenly A Piece of paper dropped from the ceiling	game/dialog/00001/00002.rpy	83	data_ep_0 "[what]"
data_dialog_00001_00002_b0578aba	data_chr_00004_00000_00001	wheres that paper come from?	game/dialog/00001/00002.rpy	85	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_42c6e409	data_ep_0	looks up and grab the paper	game/dialog/00001/00002.rpy	87	data_ep_0 "[what]"
data_dialog_00001_00002_803a02e2	data_ep_0	She open the paper and read the text written to it	game/dialog/00001/00002.rpy	89	data_ep_0 "[what]"
data_dialog_00001_00002_eaa82930	data_chr_00003_00003	"To Cast Library Kind Spell You Can Think Of The Rarity, Book, Class, Type, Name Of The Spell and Level Of The Spell"	game/dialog/00001/00002.rpy	91	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_4d4eae80	data_chr_00004_00000_00001	what.... okay then	game/dialog/00001/00002.rpy	93	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_5bd9ac6a	data_ep_0	She Tried To Cast The Spell Again	game/dialog/00001/00002.rpy	95	data_ep_0 "[what]"
data_dialog_00001_00002_a3168250	data_chr_00004_00000_00001	[[Legendary: Saint: Light: Lightning: 6]	game/dialog/00001/00002.rpy	97	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_d5ef385c	data_ep_0	Suddenly a lightning strike to the room destroying the corridor and causing a fire	game/dialog/00001/00002.rpy	101	data_ep_0 "[what]"
data_dialog_00001_00002_4669bbb3	data_ep_0	She run out of the corridor and look back on what she done	game/dialog/00001/00002.rpy	105	data_ep_0 "[what]"
data_dialog_00001_00002_f83e8f8e	data_ep_0	to her surprise everything is back to normal with a another paper placed on one of the tables	game/dialog/00001/00002.rpy	107	data_ep_0 "[what]"
data_dialog_00001_00002_9f0316d5	data_chr_00003_00003	"Using a magic in the library can be dangerous so I made a testing room near the door you went in."	game/dialog/00001/00002.rpy	109	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_3aef1006	data_chr_00003_00003	"Also you can't damage anything in the library so don't worry about what you did"	game/dialog/00001/00002.rpy	111	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_c3dae3a8	data_chr_00003_00003	"When Casting A Spell The Chanting Does Not Matter it's about how you define that spell you want"	game/dialog/00001/00002.rpy	113	data_chr_00003_00003 "[what]"
data_dialog_00001_00002_e6b6ac9f	data_chr_00004_00000_00001	good grief I thought I destroy the library	game/dialog/00001/00002.rpy	115	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_b67d31a9	data_ep_0	She felt relieved after not getting a scolding paper	game/dialog/00001/00002.rpy	117	data_ep_0 "[what]"
data_dialog_00001_00002_af028615	data_chr_00004_00000_00001	every book here is interesting....time to read every book...	game/dialog/00001/00002.rpy	119	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00002_c921fcee	data_ep_0	As the time passes by she read a book after book but then a ring of a bell can be heard 	game/dialog/00001/00002.rpy	121	data_ep_0 "[what]"
data_dialog_00001_00002_72d94197	data_ep_0	She panicked and look at the time	game/dialog/00001/00002.rpy	127	data_ep_0 "[what]"
data_dialog_00001_00002_27b47cb6	data_ep_0	It's 7 o'Clock	game/dialog/00001/00002.rpy	129	data_ep_0 "[what]"
data_dialog_00001_00002_935ed72f	data_chr_00004_00000_00001	Good Grief I'm Gonna Be Late	game/dialog/00001/00002.rpy	131	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00003_692f7421		CHAPTER 3	game/dialog/00001/00003.rpy	2	"[what]"
data_dialog_00001_00003_3d00c1e1	data_ep_fast_forward	Fast Forward To The Over Decorated Interior Mansion	game/dialog/00001/00003.rpy	4	data_ep_fast_forward "[what]"
data_dialog_00001_00003_f6bb1689	data_ep_0	Auriel Ready All Her Things And Went Running Thru The Forrest	game/dialog/00001/00003.rpy	6	data_ep_0 "[what]"
data_dialog_00001_00003_d7325bf1	data_ep_0	On The Way She Test The Spell She Learned From The Library 	game/dialog/00001/00003.rpy	8	data_ep_0 "[what]"
data_dialog_00001_00003_9bcb38f7	data_ep_0	She Fire a [[Fireball: 3[[ Spell On A Slime 	game/dialog/00001/00003.rpy	10	data_ep_0 "[what]"
data_dialog_00001_00003_b14140c4	data_chr_00004_00000_00001	Oh wow it got oblibrated	game/dialog/00001/00003.rpy	12	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00003_00f31599	data_ep_0	Then She Tried Another Spell [[Speed: 2[[ Which To Her Surprise Make Her Go Faster	game/dialog/00001/00003.rpy	14	data_ep_0 "[what]"
data_dialog_00001_00003_2ef0762f	data_ep_0	But In Exchange She Would Feel Light Headed Overtime	game/dialog/00001/00003.rpy	16	data_ep_0 "[what]"
data_dialog_00001_00003_a1838f17	data_ep_0	she take a break before continuting	game/dialog/00001/00003.rpy	18	data_ep_0 "[what]"
data_dialog_00001_00003_5f4e08ef	data_ep_0	while taking a break she hears a mysterious sound similar to the sounds in the library and a light flashed between the trees	game/dialog/00001/00003.rpy	20	data_ep_0 "[what]"
data_dialog_00001_00003_8caed697	data_ep_0	she saw a group of 7 girls in a foreign clothes (Uniforms?) 	game/dialog/00001/00003.rpy	22	data_ep_0 "[what]"
data_dialog_00001_00003_7fad738b	data_ep_0	with it seems like they saying something that she does not understand 	game/dialog/00001/00003.rpy	24	data_ep_0 "[what]"
data_dialog_00001_00003_bb93fe8f	data_ep_pov_swap		game/dialog/00001/00003.rpy	26	data_ep_pov_swap "[what]"
data_dialog_00001_00003_2ef26c1f	data_chr_00005_00001	<Wait Where Are We?>	game/dialog/00001/00003.rpy	28	data_chr_00005_00001 "[what]"
data_dialog_00001_00003_24627f1f	data_chr_00005_00003	<I Don't Know>	game/dialog/00001/00003.rpy	30	data_chr_00005_00003 "[what]"
data_dialog_00001_00003_2a8d3ce5	data_chr_00005_00002	<We were in the campus's hallway>	game/dialog/00001/00003.rpy	32	data_chr_00005_00002 "[what]"
data_dialog_00001_00003_5362f0e9	data_chr_00005_00004	<Axel, Stop Holding Me>	game/dialog/00001/00003.rpy	34	data_chr_00005_00004 "[what]"
data_dialog_00001_00003_f399792f	data_chr_00006_00005	<I'm Scarred Okay>	game/dialog/00001/00003.rpy	36	data_chr_00006_00005 "[what]"
data_dialog_00001_00003_6a9a3126	data_chr_00005_00006	<Well It Cant Be Help>	game/dialog/00001/00003.rpy	38	data_chr_00005_00006 "[what]"
data_dialog_00001_00003_7dd2f8bc	data_chr_00005_00007	<this is getting weirder and weirder>	game/dialog/00001/00003.rpy	40	data_chr_00005_00007 "[what]"
data_dialog_00001_00003_3efb0bb5	data_ep_0	Suddenly A Boy Just Magically Fall Off From The Sky	game/dialog/00001/00003.rpy	42	data_ep_0 "[what]"
data_dialog_00001_00003_225c4d15	data_chr_00005_00008	<Agh, that's a litteral fall..>	game/dialog/00001/00003.rpy	44	data_chr_00005_00008 "[what]"
data_dialog_00001_00003_c241af25	data_chr_00005_00008	<How the hell did I survived that>	game/dialog/00001/00003.rpy	46	data_chr_00005_00008 "[what]"
data_dialog_00001_00003_3b072598	data_chr_00005_00004	<Marcus?, Why are you here?>	game/dialog/00001/00003.rpy	48	data_chr_00005_00004 "[what]"
data_dialog_00001_00003_c0856aee	data_chr_00006_00008	<Im in the classroom and then I just fallen off the floor then this happened>	game/dialog/00001/00003.rpy	50	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_485969b3	data_chr_00006_00008	<what about you? Ella Why Are You here?>	game/dialog/00001/00003.rpy	52	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_edc44522	data_chr_00006_00004	<We have the same thing happened>	game/dialog/00001/00003.rpy	54	data_chr_00006_00004 "[what]"
data_dialog_00001_00003_f2ff13d5	data_chr_00006_00004	<but we just Teleported? Into this place>	game/dialog/00001/00003.rpy	56	data_chr_00006_00004 "[what]"
data_dialog_00001_00003_c62034cb	data_chr_00006_00008	<Well It Can't Be Helped>	game/dialog/00001/00003.rpy	58	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_48937c9d	data_chr_00006_00008	<It Seems Like You Have Friends Here>	game/dialog/00001/00003.rpy	60	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_96f20b95	data_chr_00005_00001	<Alice>	game/dialog/00001/00003.rpy	62	data_chr_00005_00001 "[what]"
data_dialog_00001_00003_c169504f	data_chr_00005_00002	<Stephanie>	game/dialog/00001/00003.rpy	64	data_chr_00005_00002 "[what]"
data_dialog_00001_00003_f10dc8c2	data_chr_00005_00003	<Rose>	game/dialog/00001/00003.rpy	66	data_chr_00005_00003 "[what]"
data_dialog_00001_00003_451d7360	data_chr_00006_00005	<Axel.... >	game/dialog/00001/00003.rpy	68	data_chr_00006_00005 "[what]"
data_dialog_00001_00003_61e33ef7	data_chr_00005_00006	<Pepper>	game/dialog/00001/00003.rpy	70	data_chr_00005_00006 "[what]"
data_dialog_00001_00003_d0bece69	data_chr_00005_00007	<My Name Is Christine>	game/dialog/00001/00003.rpy	72	data_chr_00005_00007 "[what]"
data_dialog_00001_00003_33d52bfe	data_chr_00006_00008	<Well My Name Is Marcus Nice To Meet You All>	game/dialog/00001/00003.rpy	74	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_f54ef202	data_chr_00006_00004	<Now What?...>	game/dialog/00001/00003.rpy	76	data_chr_00006_00004 "[what]"
data_dialog_00001_00003_e3278d3c	data_chr_00006_00007	<I Dont Know But What If We Start Walking>	game/dialog/00001/00003.rpy	78	data_chr_00006_00007 "[what]"
data_dialog_00001_00003_562c8d09	data_ep_0	The Began Walking Thru The Forest	game/dialog/00001/00003.rpy	80	data_ep_0 "[what]"
data_dialog_00001_00003_4d01deec	data_ep_forward	Several Minutes Later Of Silence	game/dialog/00001/00003.rpy	82	data_ep_forward "[what]"
data_dialog_00001_00003_2fa714c6	data_chr_00006_00007	<Are we just going circle for the passed minute?>	game/dialog/00001/00003.rpy	84	data_chr_00006_00007 "[what]"
data_dialog_00001_00003_9f40c536	data_chr_00006_00001	<its seems so>	game/dialog/00001/00003.rpy	86	data_chr_00006_00001 "[what]"
data_dialog_00001_00003_d0c16d1c	data_chr	era yhet soronM?	game/dialog/00001/00003.rpy	88	data_chr "[what]"
data_dialog_00001_00003_8c4e6413	data_chr_00006_00001	<Whos That? Hello?>	game/dialog/00001/00003.rpy	90	data_chr_00006_00001 "[what]"
data_dialog_00001_00003_2dbeef99	data_chr	~Fufu	game/dialog/00001/00003.rpy	92	data_chr "[what]"
data_dialog_00001_00003_e5fc7de4	data_chr_00006_00005	<Elle Am Scared>	game/dialog/00001/00003.rpy	94	data_chr_00006_00005 "[what]"
data_dialog_00001_00003_cff780c2	data_chr_00006_00008	<Who Are You? Come Out Come Out Whoever You Are>	game/dialog/00001/00003.rpy	96	data_chr_00006_00008 "[what]"
data_dialog_00001_00003_9e8356a7	data_ep_backward	Back To Auriel's Pov	game/dialog/00001/00003.rpy	98	data_ep_backward "[what]"
data_dialog_00001_00003_f38935cb	data_chr_00004_00000_00001	Are they Morons?	game/dialog/00001/00003.rpy	100	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00003_60a7ff49	data_chr	<sohws taht? olleh?>	game/dialog/00001/00003.rpy	102	data_chr "[what]"
data_dialog_00001_00003_fcf60462	data_chr_00004_00000_00001	*what are they speaking?*	game/dialog/00001/00003.rpy	104	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00003_4dcac103	data_ep_0	Auriel murmur to herself	game/dialog/00001/00003.rpy	106	data_ep_0 "[what]"
data_dialog_00001_00003_dc78a274	data_ep_0	to her they are speaking nonsense	game/dialog/00001/00003.rpy	108	data_ep_0 "[what]"
data_dialog_00001_00003_4a57f713	data_chr_00004_00000_00001	*oh wait im gonna be late, i need to go* 	game/dialog/00001/00003.rpy	110	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00003_2742df2e	data_ep_0	she forgoten about her school	game/dialog/00001/00003.rpy	112	data_ep_0 "[what]"
data_dialog_00001_00003_07a948fd	data_ep_forward	Group's Prespective	game/dialog/00001/00003.rpy	114	data_ep_forward "[what]"
data_dialog_00001_00003_11572f5d	data_ep_0	they heard a branch of a tree rattling	game/dialog/00001/00003.rpy	116	data_ep_0 "[what]"
data_dialog_00001_00003_fd0e19c2	data_chr_00006_00007	<what is it?>	game/dialog/00001/00003.rpy	118	data_chr_00006_00007 "[what]"
